,index,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,adult_femail
312,390,1,1,male,36.0,1,2,120.0,S,First,man,True,B,Southampton,yes,False,False
313,391,1,3,male,21.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,False
314,392,0,3,male,28.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,False
315,393,1,1,female,23.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,False
316,394,1,3,female,24.0,0,2,16.7,S,Third,woman,False,G,Southampton,yes,False,False
317,395,0,3,male,22.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True,False
318,396,0,3,female,31.0,0,0,7.8542,S,Third,woman,False,,Southampton,no,True,False
319,397,0,2,male,46.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,False
320,398,0,2,male,23.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False
321,399,1,2,female,28.0,0,0,12.65,S,Second,woman,False,,Southampton,yes,True,False
322,400,1,3,male,39.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True,False
323,401,0,3,male,26.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
324,402,0,3,female,21.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,False
325,403,0,3,male,28.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,False
326,404,0,3,female,20.0,0,0,8.6625,S,Third,woman,False,,Southampton,no,True,False
327,405,0,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,False
328,406,0,3,male,51.0,0,0,7.75,S,Third,man,True,,Southampton,no,True,False
329,407,1,2,male,3.0,1,1,18.75,S,Second,child,False,,Southampton,yes,False,False
330,408,0,3,male,21.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,False
331,412,1,1,female,33.0,1,0,90.0,Q,First,woman,False,C,Queenstown,yes,False,False
332,414,1,3,male,44.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True,False
333,416,1,2,female,34.0,1,1,32.5,S,Second,woman,False,,Southampton,yes,False,False
334,417,1,2,female,18.0,0,2,13.0,S,Second,woman,False,,Southampton,yes,False,False
335,418,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
336,419,0,3,female,10.0,0,2,24.15,S,Third,child,False,,Southampton,no,False,False
337,421,0,3,male,21.0,0,0,7.7333,Q,Third,man,True,,Queenstown,no,True,False
338,422,0,3,male,29.0,0,0,7.875,S,Third,man,True,,Southampton,no,True,False
339,423,0,3,female,28.0,1,1,14.4,S,Third,woman,False,,Southampton,no,False,False
340,424,0,3,male,18.0,1,1,20.2125,S,Third,man,True,,Southampton,no,False,False
341,426,1,2,female,28.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,False
342,427,1,2,female,19.0,0,0,26.0,S,Second,woman,False,,Southampton,yes,True,False
343,429,1,3,male,32.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True,False
344,430,1,1,male,28.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True,False
345,432,1,2,female,42.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,False
346,433,0,3,male,17.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,False
347,434,0,1,male,50.0,1,0,55.9,S,First,man,True,E,Southampton,no,False,False
348,435,1,1,female,14.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False,False
349,436,0,3,female,21.0,2,2,34.375,S,Third,woman,False,,Southampton,no,False,False
350,437,1,2,female,24.0,2,3,18.75,S,Second,woman,False,,Southampton,yes,False,False
351,438,0,1,male,64.0,1,4,263.0,S,First,man,True,C,Southampton,no,False,False
352,439,0,2,male,31.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False
353,440,1,2,female,45.0,1,1,26.25,S,Second,woman,False,,Southampton,yes,False,False
354,441,0,3,male,20.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,False
355,442,0,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,no,False,False
356,443,1,2,female,28.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,False
357,445,1,1,male,4.0,0,2,81.8583,S,First,child,False,A,Southampton,yes,False,False
358,446,1,2,female,13.0,0,1,19.5,S,Second,child,False,,Southampton,yes,False,False
359,447,1,1,male,34.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,False
360,448,1,3,female,5.0,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False,False
361,449,1,1,male,52.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True,False
362,450,0,2,male,36.0,1,2,27.75,S,Second,man,True,,Southampton,no,False,False
363,452,0,1,male,30.0,0,0,27.75,C,First,man,True,C,Cherbourg,no,True,False
364,453,1,1,male,49.0,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False,False
365,455,1,3,male,29.0,0,0,7.8958,C,Third,man,True,,Cherbourg,yes,True,False
366,456,0,1,male,65.0,0,0,26.55,S,First,man,True,E,Southampton,no,True,False
367,458,1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,False
368,460,1,1,male,48.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True,False
369,461,0,3,male,34.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
370,462,0,1,male,47.0,0,0,38.5,S,First,man,True,E,Southampton,no,True,False
371,463,0,2,male,48.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
372,465,0,3,male,38.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,False
373,467,0,1,male,56.0,0,0,26.55,S,First,man,True,,Southampton,no,True,False
374,469,1,3,female,0.75,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False,False
375,471,0,3,male,38.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,False
376,472,1,2,female,33.0,1,2,27.75,S,Second,woman,False,,Southampton,yes,False,False
377,473,1,2,female,23.0,0,0,13.7917,C,Second,woman,False,D,Cherbourg,yes,True,False
378,474,0,3,female,22.0,0,0,9.8375,S,Third,woman,False,,Southampton,no,True,False
379,476,0,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,False
380,477,0,3,male,29.0,1,0,7.0458,S,Third,man,True,,Southampton,no,False,False
381,478,0,3,male,22.0,0,0,7.5208,S,Third,man,True,,Southampton,no,True,False
382,479,1,3,female,2.0,0,1,12.2875,S,Third,child,False,,Southampton,yes,False,False
383,480,0,3,male,9.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,False
384,482,0,3,male,50.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
385,483,1,3,female,63.0,0,0,9.5875,S,Third,woman,False,,Southampton,yes,True,False
386,484,1,1,male,25.0,1,0,91.0792,C,First,man,True,B,Cherbourg,yes,False,False
387,486,1,1,female,35.0,1,0,90.0,S,First,woman,False,C,Southampton,yes,False,False
388,487,0,1,male,58.0,0,0,29.7,C,First,man,True,B,Cherbourg,no,True,False
389,488,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
390,489,1,3,male,9.0,1,1,15.9,S,Third,child,False,,Southampton,yes,False,False
391,491,0,3,male,21.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,False
392,492,0,1,male,55.0,0,0,30.5,S,First,man,True,C,Southampton,no,True,False
393,493,0,1,male,71.0,0,0,49.5042,C,First,man,True,,Cherbourg,no,True,False
394,494,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
395,496,1,1,female,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False,False
396,498,0,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False,False
397,499,0,3,male,24.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True,False
398,500,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,False
399,501,0,3,female,21.0,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True,False
400,503,0,3,female,37.0,0,0,9.5875,S,Third,woman,False,,Southampton,no,True,False
401,504,1,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,False
402,505,0,1,male,18.0,1,0,108.9,C,First,man,True,C,Cherbourg,no,False,False
403,506,1,2,female,33.0,0,2,26.0,S,Second,woman,False,,Southampton,yes,False,False
404,508,0,3,male,28.0,0,0,22.525,S,Third,man,True,,Southampton,no,True,False
405,509,1,3,male,26.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,False
406,510,1,3,male,29.0,0,0,7.75,Q,Third,man,True,,Queenstown,yes,True,False
407,512,1,1,male,36.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True,False
408,513,1,1,female,54.0,1,0,59.4,C,First,woman,False,,Cherbourg,yes,False,False
409,514,0,3,male,24.0,0,0,7.4958,S,Third,man,True,,Southampton,no,True,False
410,515,0,1,male,47.0,0,0,34.0208,S,First,man,True,D,Southampton,no,True,False
411,516,1,2,female,34.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,False
412,518,1,2,female,36.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,False
413,519,0,3,male,32.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
414,520,1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True,False
415,521,0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
416,523,1,1,female,44.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False,False
417,525,0,3,male,40.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,False
418,526,1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,False
419,528,0,3,male,39.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,False
420,529,0,2,male,23.0,2,1,11.5,S,Second,man,True,,Southampton,no,False,False
421,530,1,2,female,2.0,1,1,26.0,S,Second,child,False,,Southampton,yes,False,False
422,532,0,3,male,17.0,1,1,7.2292,C,Third,man,True,,Cherbourg,no,False,False
423,534,0,3,female,30.0,0,0,8.6625,S,Third,woman,False,,Southampton,no,True,False
424,535,1,2,female,7.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False,False
425,536,0,1,male,45.0,0,0,26.55,S,First,man,True,B,Southampton,no,True,False
426,537,1,1,female,30.0,0,0,106.425,C,First,woman,False,,Cherbourg,yes,True,False
427,539,1,1,female,22.0,0,2,49.5,C,First,woman,False,B,Cherbourg,yes,False,False
428,540,1,1,female,36.0,0,2,71.0,S,First,woman,False,B,Southampton,yes,False,False
429,541,0,3,female,9.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,False
430,542,0,3,female,11.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,False
431,543,1,2,male,32.0,1,0,26.0,S,Second,man,True,,Southampton,yes,False,False
432,544,0,1,male,50.0,1,0,106.425,C,First,man,True,C,Cherbourg,no,False,False
433,545,0,1,male,64.0,0,0,26.0,S,First,man,True,,Southampton,no,True,False
434,546,1,2,female,19.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,False
435,548,0,3,male,33.0,1,1,20.525,S,Third,man,True,,Southampton,no,False,False
436,549,1,2,male,8.0,1,1,36.75,S,Second,child,False,,Southampton,yes,False,False
437,550,1,1,male,17.0,0,2,110.8833,C,First,man,True,C,Cherbourg,yes,False,False
438,551,0,2,male,27.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,False
439,553,1,3,male,22.0,0,0,7.225,C,Third,man,True,,Cherbourg,yes,True,False
440,554,1,3,female,22.0,0,0,7.775,S,Third,woman,False,,Southampton,yes,True,False
441,555,0,1,male,62.0,0,0,26.55,S,First,man,True,,Southampton,no,True,False
442,556,1,1,female,48.0,1,0,39.6,C,First,woman,False,A,Cherbourg,yes,False,False
443,558,1,1,female,39.0,1,1,79.65,S,First,woman,False,E,Southampton,yes,False,False
444,559,1,3,female,36.0,1,0,17.4,S,Third,woman,False,,Southampton,yes,False,False
445,561,0,3,male,40.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
446,562,0,2,male,28.0,0,0,13.5,S,Second,man,True,,Southampton,no,True,False
447,565,0,3,male,24.0,2,0,24.15,S,Third,man,True,,Southampton,no,False,False
448,566,0,3,male,19.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
449,567,0,3,female,29.0,0,4,21.075,S,Third,woman,False,,Southampton,no,False,False
450,569,1,3,male,32.0,0,0,7.8542,S,Third,man,True,,Southampton,yes,True,False
451,570,1,2,male,62.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True,False
452,571,1,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False,False
453,572,1,1,male,36.0,0,0,26.3875,S,First,man,True,E,Southampton,yes,True,False
454,574,0,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
455,575,0,3,male,19.0,0,0,14.5,S,Third,man,True,,Southampton,no,True,False
456,576,1,2,female,34.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,False
457,577,1,1,female,39.0,1,0,55.9,S,First,woman,False,E,Southampton,yes,False,False
458,579,1,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True,False
459,580,1,2,female,25.0,1,1,30.0,S,Second,woman,False,,Southampton,yes,False,False
460,581,1,1,female,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,yes,False,False
461,582,0,2,male,54.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,False
462,583,0,1,male,36.0,0,0,40.125,C,First,man,True,A,Cherbourg,no,True,False
463,585,1,1,female,18.0,0,2,79.65,S,First,woman,False,E,Southampton,yes,False,False
464,586,0,2,male,47.0,0,0,15.0,S,Second,man,True,,Southampton,no,True,False
465,587,1,1,male,60.0,1,1,79.2,C,First,man,True,B,Cherbourg,yes,False,False
466,588,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
467,590,0,3,male,35.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,False
468,591,1,1,female,52.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False,False
469,592,0,3,male,47.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,False
470,594,0,2,male,37.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,False
471,595,0,3,male,36.0,1,1,24.15,S,Third,man,True,,Southampton,no,False,False
472,597,0,3,male,49.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,False
473,599,1,1,male,49.0,1,0,56.9292,C,First,man,True,A,Cherbourg,yes,False,False
474,600,1,2,female,24.0,2,1,27.0,S,Second,woman,False,,Southampton,yes,False,False
475,603,0,3,male,44.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
476,604,1,1,male,35.0,0,0,26.55,C,First,man,True,,Cherbourg,yes,True,False
477,605,0,3,male,36.0,1,0,15.55,S,Third,man,True,,Southampton,no,False,False
478,606,0,3,male,30.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
479,607,1,1,male,27.0,0,0,30.5,S,First,man,True,,Southampton,yes,True,False
480,608,1,2,female,22.0,1,2,41.5792,C,Second,woman,False,,Cherbourg,yes,False,False
481,609,1,1,female,40.0,0,0,153.4625,S,First,woman,False,C,Southampton,yes,True,False
482,610,0,3,female,39.0,1,5,31.275,S,Third,woman,False,,Southampton,no,False,False
483,614,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
484,615,1,2,female,24.0,1,2,65.0,S,Second,woman,False,,Southampton,yes,False,False
485,616,0,3,male,34.0,1,1,14.4,S,Third,man,True,,Southampton,no,False,False
486,617,0,3,female,26.0,1,0,16.1,S,Third,woman,False,,Southampton,no,False,False
487,618,1,2,female,4.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,False
488,619,0,2,male,26.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False
489,620,0,3,male,27.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,False
490,621,1,1,male,42.0,1,0,52.5542,S,First,man,True,D,Southampton,yes,False,False
491,622,1,3,male,20.0,1,1,15.7417,C,Third,man,True,,Cherbourg,yes,False,False
492,623,0,3,male,21.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,False
493,624,0,3,male,21.0,0,0,16.1,S,Third,man,True,,Southampton,no,True,False
494,625,0,1,male,61.0,0,0,32.3208,S,First,man,True,D,Southampton,no,True,False
495,626,0,2,male,57.0,0,0,12.35,Q,Second,man,True,,Queenstown,no,True,False
496,627,1,1,female,21.0,0,0,77.9583,S,First,woman,False,D,Southampton,yes,True,False
497,628,0,3,male,26.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
498,630,1,1,male,80.0,0,0,30.0,S,First,man,True,A,Southampton,yes,True,False
499,631,0,3,male,51.0,0,0,7.0542,S,Third,man,True,,Southampton,no,True,False
500,632,1,1,male,32.0,0,0,30.5,C,First,man,True,B,Cherbourg,yes,True,False
501,634,0,3,female,9.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,False
502,635,1,2,female,28.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,False
503,636,0,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,False
504,637,0,2,male,31.0,1,1,26.25,S,Second,man,True,,Southampton,no,False,False
505,638,0,3,female,41.0,0,5,39.6875,S,Third,woman,False,,Southampton,no,False,False
506,640,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,False
507,641,1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True,False
508,642,0,3,female,2.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,False
509,644,1,3,female,0.75,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False,False
510,645,1,1,male,48.0,1,0,76.7292,C,First,man,True,D,Cherbourg,yes,False,False
511,646,0,3,male,19.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
512,647,1,1,male,56.0,0,0,35.5,C,First,man,True,A,Cherbourg,yes,True,False
513,649,1,3,female,23.0,0,0,7.55,S,Third,woman,False,,Southampton,yes,True,False
514,651,1,2,female,18.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,False
515,652,0,3,male,21.0,0,0,8.4333,S,Third,man,True,,Southampton,no,True,False
516,654,0,3,female,18.0,0,0,6.75,Q,Third,woman,False,,Queenstown,no,True,False
517,655,0,2,male,24.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,False
518,657,0,3,female,32.0,1,1,15.5,Q,Third,woman,False,,Queenstown,no,False,False
519,658,0,2,male,23.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
520,659,0,1,male,58.0,0,2,113.275,C,First,man,True,D,Cherbourg,no,False,False
521,660,1,1,male,50.0,2,0,133.65,S,First,man,True,,Southampton,yes,False,False
522,661,0,3,male,40.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,False
523,662,0,1,male,47.0,0,0,25.5875,S,First,man,True,E,Southampton,no,True,False
524,663,0,3,male,36.0,0,0,7.4958,S,Third,man,True,,Southampton,no,True,False
525,664,1,3,male,20.0,1,0,7.925,S,Third,man,True,,Southampton,yes,False,False
526,665,0,2,male,32.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,False
527,666,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
528,668,0,3,male,43.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
529,670,1,2,female,40.0,1,1,39.0,S,Second,woman,False,,Southampton,yes,False,False
530,671,0,1,male,31.0,1,0,52.0,S,First,man,True,B,Southampton,no,False,False
531,672,0,2,male,70.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,False
532,673,1,2,male,31.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True,False
533,675,0,3,male,18.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,False
534,676,0,3,male,24.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
535,677,1,3,female,18.0,0,0,9.8417,S,Third,woman,False,,Southampton,yes,True,False
536,678,0,3,female,43.0,1,6,46.9,S,Third,woman,False,,Southampton,no,False,False
537,679,1,1,male,36.0,0,1,512.3292,C,First,man,True,B,Cherbourg,yes,False,False
538,681,1,1,male,27.0,0,0,76.7292,C,First,man,True,D,Cherbourg,yes,True,False
539,682,0,3,male,20.0,0,0,9.225,S,Third,man,True,,Southampton,no,True,False
540,683,0,3,male,14.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,False
541,684,0,2,male,60.0,1,1,39.0,S,Second,man,True,,Southampton,no,False,False
542,685,0,2,male,25.0,1,2,41.5792,C,Second,man,True,,Cherbourg,no,False,False
543,686,0,3,male,14.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,False
544,687,0,3,male,19.0,0,0,10.1708,S,Third,man,True,,Southampton,no,True,False
545,688,0,3,male,18.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True,False
546,689,1,1,female,15.0,0,1,211.3375,S,First,child,False,B,Southampton,yes,False,False
547,690,1,1,male,31.0,1,0,57.0,S,First,man,True,B,Southampton,yes,False,False
548,691,1,3,female,4.0,0,1,13.4167,C,Third,child,False,,Cherbourg,yes,False,False
549,693,0,3,male,25.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,False
550,694,0,1,male,60.0,0,0,26.55,S,First,man,True,,Southampton,no,True,False
551,695,0,2,male,52.0,0,0,13.5,S,Second,man,True,,Southampton,no,True,False
552,696,0,3,male,44.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
553,698,0,1,male,49.0,1,1,110.8833,C,First,man,True,C,Cherbourg,no,False,False
554,699,0,3,male,42.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,False
555,700,1,1,female,18.0,1,0,227.525,C,First,woman,False,C,Cherbourg,yes,False,False
556,701,1,1,male,35.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True,False
557,702,0,3,female,18.0,0,1,14.4542,C,Third,woman,False,,Cherbourg,no,False,False
558,703,0,3,male,25.0,0,0,7.7417,Q,Third,man,True,,Queenstown,no,True,False
559,704,0,3,male,26.0,1,0,7.8542,S,Third,man,True,,Southampton,no,False,False
560,705,0,2,male,39.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,False
561,706,1,2,female,45.0,0,0,13.5,S,Second,woman,False,,Southampton,yes,True,False
562,707,1,1,male,42.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True,False
563,708,1,1,female,22.0,0,0,151.55,S,First,woman,False,,Southampton,yes,True,False
564,710,1,1,female,24.0,0,0,49.5042,C,First,woman,False,C,Cherbourg,yes,True,False
565,712,1,1,male,48.0,1,0,52.0,S,First,man,True,C,Southampton,yes,False,False
566,713,0,3,male,29.0,0,0,9.4833,S,Third,man,True,,Southampton,no,True,False
567,714,0,2,male,52.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
568,715,0,3,male,19.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,False
569,716,1,1,female,38.0,0,0,227.525,C,First,woman,False,C,Cherbourg,yes,True,False
570,717,1,2,female,27.0,0,0,10.5,S,Second,woman,False,E,Southampton,yes,True,False
571,719,0,3,male,33.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,False
572,720,1,2,female,6.0,0,1,33.0,S,Second,child,False,,Southampton,yes,False,False
573,721,0,3,male,17.0,1,0,7.0542,S,Third,man,True,,Southampton,no,False,False
574,722,0,2,male,34.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
575,723,0,2,male,50.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
576,724,1,1,male,27.0,1,0,53.1,S,First,man,True,E,Southampton,yes,False,False
577,725,0,3,male,20.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,False
578,726,1,2,female,30.0,3,0,21.0,S,Second,woman,False,,Southampton,yes,False,False
579,728,0,2,male,25.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,False
580,729,0,3,female,25.0,1,0,7.925,S,Third,woman,False,,Southampton,no,False,False
581,730,1,1,female,29.0,0,0,211.3375,S,First,woman,False,B,Southampton,yes,True,False
582,731,0,3,male,11.0,0,0,18.7875,C,Third,child,False,,Cherbourg,no,True,False
583,733,0,2,male,23.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
584,734,0,2,male,23.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,False
585,735,0,3,male,28.5,0,0,16.1,S,Third,man,True,,Southampton,no,True,False
586,736,0,3,female,48.0,1,3,34.375,S,Third,woman,False,,Southampton,no,False,False
587,737,1,1,male,35.0,0,0,512.3292,C,First,man,True,B,Cherbourg,yes,True,False
588,741,0,1,male,36.0,1,0,78.85,S,First,man,True,C,Southampton,no,False,False
589,742,1,1,female,21.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False,False
590,743,0,3,male,24.0,1,0,16.1,S,Third,man,True,,Southampton,no,False,False
591,744,1,3,male,31.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True,False
592,745,0,1,male,70.0,1,1,71.0,S,First,man,True,B,Southampton,no,False,False
593,746,0,3,male,16.0,1,1,20.25,S,Third,man,True,,Southampton,no,False,False
594,747,1,2,female,30.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,False
595,748,0,1,male,19.0,1,0,53.1,S,First,man,True,D,Southampton,no,False,False
596,749,0,3,male,31.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,False
597,750,1,2,female,4.0,1,1,23.0,S,Second,child,False,,Southampton,yes,False,False
598,751,1,3,male,6.0,0,1,12.475,S,Third,child,False,E,Southampton,yes,False,False
599,752,0,3,male,33.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,False
600,753,0,3,male,23.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,False
601,754,1,2,female,48.0,1,2,65.0,S,Second,woman,False,,Southampton,yes,False,False
602,755,1,2,male,0.67,1,1,14.5,S,Second,child,False,,Southampton,yes,False,False
603,756,0,3,male,28.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True,False
604,757,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,False
605,758,0,3,male,34.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,False
606,759,1,1,female,33.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,False
607,761,0,3,male,41.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,False
608,762,1,3,male,20.0,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,False
609,763,1,1,female,36.0,1,2,120.0,S,First,woman,False,B,Southampton,yes,False,False
610,764,0,3,male,16.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,False
611,765,1,1,female,51.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,False
612,767,0,3,female,30.5,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True,False
613,769,0,3,male,32.0,0,0,8.3625,S,Third,man,True,,Southampton,no,True,False
614,770,0,3,male,24.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,False
615,771,0,3,male,48.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,False
616,772,0,2,female,57.0,0,0,10.5,S,Second,woman,False,E,Southampton,no,True,False
617,774,1,2,female,54.0,1,3,23.0,S,Second,woman,False,,Southampton,yes,False,False
618,775,0,3,male,18.0,0,0,7.75,S,Third,man,True,,Southampton,no,True,False
619,777,1,3,female,5.0,0,0,12.475,S,Third,child,False,,Southampton,yes,True,False
620,779,1,1,female,43.0,0,1,211.3375,S,First,woman,False,B,Southampton,yes,False,False
621,780,1,3,female,13.0,0,0,7.2292,C,Third,child,False,,Cherbourg,yes,True,False
622,781,1,1,female,17.0,1,0,57.0,S,First,woman,False,B,Southampton,yes,False,False
623,782,0,1,male,29.0,0,0,30.0,S,First,man,True,D,Southampton,no,True,False
624,784,0,3,male,25.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,False
